"threshold_sd","threshold_days","moving_average_days","majorLossThresh","bic"
2.4,10,11,1,-482.477495860777
2.5,10,11,1,-545.768203886429
2.6,10,11,1,-890.01534633405
2.7,10,11,1,-1164.25887460102
2.8,10,11,1,-1165.93733078571
2.9,10,11,1,Inf
3,10,11,1,Inf
3.1,10,11,1,Inf
3.2,10,11,1,Inf
3.3,10,11,1,Inf
3.4,10,11,1,Inf
3.5,10,11,1,Inf
3.6,10,11,1,Inf
3.7,10,11,1,Inf
3.8,10,11,1,Inf
3.9,10,11,1,Inf
4,10,11,1,Inf
2,3,12,1,-89.4474716253199
2.1,3,12,1,-156.89121468519
2.2,3,12,1,-275.480048133453
2.3,3,12,1,-348.783172497627
2.4,3,12,1,-503.296983462442
2.5,3,12,1,-578.352307499064
2.6,3,12,1,-760.845478699989
2.7,3,12,1,-922.653074815293
2.8,3,12,1,Inf
2.9,3,12,1,Inf
3,3,12,1,Inf
3.1,3,12,1,Inf
3.2,3,12,1,Inf
3.3,3,12,1,Inf
3.4,3,12,1,Inf
3.5,3,12,1,Inf
3.6,3,12,1,Inf
3.7,3,12,1,Inf
3.8,3,12,1,Inf
3.9,3,12,1,Inf
4,3,12,1,Inf
2,4,12,1,-88.2958647815586
2.1,4,12,1,-158.810213246199
2.2,4,12,1,-273.769503883211
2.3,4,12,1,-345.157281252007
2.4,4,12,1,-499.171713612904
2.5,4,12,1,-572.514495832325
2.6,4,12,1,-758.725128787072
2.7,4,12,1,-910.819434977612
2.8,4,12,1,Inf
2.9,4,12,1,Inf
3,4,12,1,Inf
3.1,4,12,1,Inf
3.2,4,12,1,Inf
3.3,4,12,1,Inf
3.4,4,12,1,Inf
3.5,4,12,1,Inf
3.6,4,12,1,Inf
3.7,4,12,1,Inf
3.8,4,12,1,Inf
3.9,4,12,1,Inf
4,4,12,1,Inf
2,5,12,1,-87.1484646982549
2.1,5,12,1,-157.412822958387
2.2,5,12,1,-272.061579630843
2.3,5,12,1,-346.864831769696
2.4,5,12,1,-495.792403276137
2.5,5,12,1,-568.036905654355
2.6,5,12,1,-756.396317926991
2.7,5,12,1,-907.773713380537
2.8,5,12,1,Inf
2.9,5,12,1,Inf
3,5,12,1,Inf
3.1,5,12,1,Inf
3.2,5,12,1,Inf
3.3,5,12,1,Inf
3.4,5,12,1,Inf
3.5,5,12,1,Inf
3.6,5,12,1,Inf
3.7,5,12,1,Inf
3.8,5,12,1,Inf
3.9,5,12,1,Inf
4,5,12,1,Inf
2,6,12,1,-86.0053230023868
2.1,6,12,1,-156.01806161195
2.2,6,12,1,-270.356282264822
2.3,6,12,1,-342.648980169459
2.4,6,12,1,-484.598164500261
2.5,6,12,1,-564.235050297805
2.6,6,12,1,-753.993656908983
2.7,6,12,1,-904.683085348466
2.8,6,12,1,Inf
2.9,6,12,1,Inf
3,6,12,1,Inf
3.1,6,12,1,Inf
3.2,6,12,1,Inf
3.3,6,12,1,Inf
3.4,6,12,1,Inf
3.5,6,12,1,Inf
3.6,6,12,1,Inf
3.7,6,12,1,Inf
3.8,6,12,1,Inf
3.9,6,12,1,Inf
4,6,12,1,Inf
2,7,12,1,-80.9246502039524
2.1,7,12,1,-149.154348746173
2.2,7,12,1,-264.972076190853
2.3,7,12,1,-337.448967794708
